state,date,type,total_votes,total_delegates
AL,2000-06-06,P,278527,64
AK,2000-04-22,P,,19
AS,2000-03-07,T,25,6
AZ,2000-03-11,P,86907,55
AR,2000-05-23,P,246900,47
CA,2000-03-07,P,2654114,433
CO,2000-03-10,P,88735,61
CT,2000-03-07,P,177301,67
DE,2000-02-05,N,11141,22
DC,2000-05-02,P,19417,33
DC,2000-05-02,P,19417,33
FL,2000-03-14,P,551916,186
GA,2000-03-07,P,284431,93
HI,2000-03-07,C,1315,33
ID,2000-03-07,C,382,23
IL,2000-03-21,P,809648,190
IN,2000-05-02,P,293172,88
IA,2000-01-24,C,2001,57
KS,2000-05-06,C,566,42
KY,2000-05-23,P,220279,58
LA,2000-03-14,P,157551,72
ME,2000-03-07,P,64279,33
MD,2000-03-07,P,507462,95
MA,2000-03-07,P,570074,118
MI,2000-03-11,C,19160,158
MN,2000-03-12,P,15000,90
MS,2000-03-14,P,88602,48
MO,2000-03-07,P,265489,92
MT,2000-06-06,P,87867,24
NE,2000-05-09,P,105271,32
NV,2000-03-12,P,934,29
NH,2000-02-01,P,154639,29
NJ,2000-06-06,P,378272,124
NM,2000-06-06,P,132280,35
NY,2000-03-07,P,974463,294
NC,2000-05-02,P,544922,103
ND,2000-03-07,P,2188,22
OH,2000-03-07,P,978512,169
OK,2000-03-14,P,134850,52
OR,2000-05-16,P,354594,58
PA,2000-04-04,P,704150,191
PR,2000-04-02,C,,58
RI,2000-03-07,P,46844,33
SC,2000-03-09,C,9657,53
SD,2000-06-06,P,,22
TN,2000-03-14,P,215203,81
TX,2000-03-14,P,786890,231
UT,2000-03-10,P,15687,29
VT,2000-03-07,P,49283,22
VI,2000-04-01,T,748,6
VA,2000-04-15,C,,95
WA,2000-02-29,N,297001,94
WV,2000-05-09,P,253310,42
WI,2000-04-04,P,371196,93
WY,2000-03-25,C,261,18
