state,date,type,total_votes,total_delegates
AL,2000-06-06,P,203077,44
AK,2000-01-24,S,4330,23
AS,2000-02-26,T,,4
AZ,2000-02-22,P,322669,30
AR,2000-05-23,P,44573,24
CA,2000-03-07,P,2847921,162
CO,2000-03-10,P,180655,40
CT,2000-03-07,P,178985,25
DE,2000-02-08,P,30060,12
DC,2000-05-02,P,2433,15
DC,2000-05-02,P,2433,15
FL,2000-03-14,P,699317,80
GA,2000-03-07,P,643188,54
HI,2000-02-13,P,,14
ID,2000-05-23,P,158446,28
IL,2000-03-21,P,736857,74
IN,2000-05-02,P,406664,55
IA,2000-01-24,C,86359,25
KS,2000-05-25,S,,35
KY,2000-03-18,C,91323,31
LA,2000-03-14,P,102912,29
ME,2000-03-07,P,96624,14
MD,2000-03-07,P,376034,31
MA,2000-03-07,P,501951,37
MI,2000-02-22,P,1276770,58
MN,2000-03-07,P,18401,34
MS,2000-03-14,P,114979,33
MO,2000-03-07,P,475363,35
MT,2000-06-06,P,113671,23
NE,2000-05-09,P,185758,30
NV,2000-03-21,C,,17
NH,2000-02-01,P,238206,17
NJ,2000-06-06,P,240810,54
NM,2000-06-06,P,75230,21
NY,2000-03-07,P,2161518,101
NC,2000-05-02,P,322517,62
ND,2000-02-29,P,9066,19
OH,2000-03-07,P,1397528,69
OK,2000-03-14,P,124809,38
OR,2000-05-16,P,349831,24
PA,2000-04-04,P,643085,78
PR,2000-02-27,P,92749,14
RI,2000-03-07,P,36120,14
SC,2000-02-19,P,573101,37
SD,2000-06-06,P,45279,22
TN,2000-03-14,P,250791,37
TX,2000-03-14,P,1126757,124
UT,2000-03-10,P,91053,29
VT,2000-03-07,P,81355,12
VI,2000-02-26,T,,4
VA,2000-02-29,P,664093,56
WA,2000-02-29,P,491148,37
WV,2000-05-09,P,109404,18
WI,2000-04-04,P,495769,37
WY,2000-03-10,C,,22
