name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",134744,32.79,16
Cruz,"Rafael Edward ""Ted""",125340,30.5,15
Rubio,Marco A.,101910,24.8,9
Carson,"Benjamin Solomon ""Ben"", Sr.",23521,5.72,0
Kasich,John Richard,15305,3.72,0
Huckabee,"Michael Dale ""Mike""",4792,1.17,0
Bush,"John Ellis ""Jeb""",2402,0.58,0
Paul,"Randal H. ""Rand""",1151,0.28,0
Christie,"Christopher James ""Chris""",631,0.15,0
Fiorina,"Carleton Sneed ""Carly""",411,0.1,0
Santorum,"Richard John ""Rick""",292,0.07,0
Graham,Lindsey Olin,252,0.06,0
Jindal,"Piyush ""Bobby""",169,0.04,0
Total,,410920,100.0,40
Total,,410920,100.0,40
Total,,410920,100.0,40
Total,,410920,100.0,40
Total,,410920,100.0,40
