name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",286743,45.95,58
Cruz,"Rafael Edward ""Ted""",172294,27.61,0
Rubio,Marco A.,72304,11.59,0
Kasich,John Richard,65965,10.57,0
Carson,"Benjamin Solomon ""Ben"", Sr.",14940,2.39,0
Bush,"John Ellis ""Jeb""",4393,0.7,0
Paul,"Randal H. ""Rand""",2269,0.36,0
Huckabee,"Michael Dale ""Mike""",1300,0.21,0
Fiorina,"Carleton Sneed ""Carly""",1270,0.2,0
Christie,"Christopher James ""Chris""",988,0.16,0
Santorum,"Richard John ""Rick""",523,0.08,0
Graham,Lindsey Olin,498,0.08,0
Pataki,George E.,309,0.05,0
Cook,"Timothy ""Tim""",243,0.04,0
Total,,624039,100.0,58
Total,,624039,100.0,58
Total,,624039,100.0,58
