name,other_name,votes,percentage,delegates
Cruz,"Rafael Edward ""Ted""",51666,27.64,8
Trump,"Donald John, Sr.",45429,24.3,7
Rubio,Marco A.,43228,23.12,7
Carson,"Benjamin Solomon ""Ben"", Sr.",17394,9.3,3
Paul,"Randal H. ""Rand""",8481,4.54,1
Bush,"John Ellis ""Jeb""",5238,2.8,1
Fiorina,"Carleton Sneed ""Carly""",3485,1.86,1
Kasich,John Richard,3474,1.86,1
Huckabee,"Michael Dale ""Mike""",3345,1.79,1
Christie,"Christopher James ""Chris""",3284,1.76,0
Santorum,"Richard John ""Rick""",1779,0.95,0
(scattering),Others,117,0.06,0
Gilmore,"James Stuart ""Jim"", III",12,0.01,0
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
Total,,186932,100.0,30
