name,other_name,votes,percentage,delegates
Cruz,"Rafael Edward ""Ted""",100889,45.44,20
Trump,"Donald John, Sr.",62413,28.11,12
Rubio,Marco A.,35290,15.9,0
Kasich,John Richard,16514,7.44,0
Carson,"Benjamin Solomon ""Ben"", Sr.",3853,1.74,0
Bush,"John Ellis ""Jeb""",939,0.42,0
Paul,"Randal H. ""Rand""",834,0.38,0
Huckabee,"Michael Dale ""Mike""",358,0.16,0
Christie,"Christopher James ""Chris""",353,0.16,0
Fiorina,"Carleton Sneed ""Carly""",242,0.11,0
Santorum,"Richard John ""Rick""",211,0.1,0
Graham,Lindsey Olin,80,0.04,0
Messina,Peter,28,0.01,0
Total,,222004,100.0,32
Total,,222004,100.0,32
Total,,222004,100.0,32
Total,,222004,100.0,32
