name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",82493,35.92,17
Cruz,"Rafael Edward ""Ted""",72503,31.57,15
Rubio,Marco A.,37579,16.36,7
Kasich,John Richard,33134,14.43,7
Carson,"Benjamin Solomon ""Ben"", Sr.",1951,0.85,0
Paul,"Randal H. ""Rand""",872,0.38,0
Uncommitted,,496,0.22,0
Bush,"John Ellis ""Jeb""",305,0.13,0
Huckabee,"Michael Dale ""Mike""",174,0.08,0
Fiorina,"Carleton Sneed ""Carly""",65,0.03,0
Christie,"Christopher James ""Chris""",64,0.03,0
Santorum,"Richard John ""Rick""",31,0.01,0
Total,,229667,100.0,46
Total,,229667,100.0,46
Total,,229667,100.0,46
Total,,229667,100.0,46
Total,,229667,100.0,46
Total,,229667,100.0,46
