name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",312425,48.99,22
Kasich,John Richard,114434,17.94,8
Rubio,Marco A.,113170,17.75,8
Cruz,"Rafael Edward ""Ted""",60592,9.5,4
Carson,"Benjamin Solomon ""Ben"", Sr.",16360,2.57,0
Bush,"John Ellis ""Jeb""",6559,1.03,0
Preference,No,3220,0.5,0
(scattering),Others,2325,0.36,0
Christie,"Christopher James ""Chris""",1906,0.3,0
Paul,"Randal H. ""Rand""",1864,0.29,0
(scattering),Blank Votes,1440,0.23,0
Fiorina,"Carleton Sneed ""Carly""",1153,0.18,0
Gilmore,"James Stuart ""Jim"", III",753,0.12,0
Huckabee,"Michael Dale ""Mike""",709,0.11,0
Pataki,George E.,500,0.08,0
Santorum,"Richard John ""Rick""",293,0.05,0
Total,,637703,100.0,42
Total,,637703,100.0,42
Total,,637703,100.0,42
Total,,637703,100.0,42
Total,,637703,100.0,42
Total,,637703,100.0,42
