name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",248343,54.1,38
Kasich,John Richard,106614,23.22,0
Cruz,"Rafael Edward ""Ted""",87093,18.97,0
Carson,"Benjamin Solomon ""Ben"", Sr.",5946,1.3,0
Rubio,Marco A.,3201,0.7,0
Bush,"John Ellis ""Jeb""",2770,0.6,0
Paul,"Randal H. ""Rand""",1533,0.33,0
Christie,"Christopher James ""Chris""",1239,0.27,0
Fiorina,"Carleton Sneed ""Carly""",1012,0.22,0
Huckabee,"Michael Dale ""Mike""",837,0.18,0
Santorum,"Richard John ""Rick""",478,0.1,0
Total,,459066,100.0,38
Total,,459066,100.0,38
Total,,459066,100.0,38
