name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",196659,47.24,25
Cruz,"Rafael Edward ""Ted""",150364,36.12,15
Kasich,John Richard,36795,8.84,0
Rubio,Marco A.,21885,5.26,0
Carson,"Benjamin Solomon ""Ben"", Sr.",5626,1.35,0
Bush,"John Ellis ""Jeb""",1697,0.41,0
Huckabee,"Michael Dale ""Mike""",1067,0.26,0
Paul,"Randal H. ""Rand""",643,0.15,0
Santorum,"Richard John ""Rick""",510,0.12,0
Christie,"Christopher James ""Chris""",493,0.12,0
Fiorina,"Carleton Sneed ""Carly""",224,0.05,0
Graham,Lindsey Olin,172,0.04,0
Pataki,George E.,135,0.03,0
Total,,416270,100.0,40
Total,,416270,100.0,40
Total,,416270,100.0,40
Total,,416270,100.0,40
