name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",34531,45.75,14
Rubio,Marco A.,17940,23.77,7
Cruz,"Rafael Edward ""Ted""",16079,21.3,6
Carson,"Benjamin Solomon ""Ben"", Sr.",3619,4.79,2
Kasich,John Richard,2709,3.59,1
(scattering),Invalid,266,0.35,0
Paul,"Randal H. ""Rand""",170,0.23,0
Bush,"John Ellis ""Jeb""",64,0.08,0
Christie,"Christopher James ""Chris""",50,0.07,0
Fiorina,"Carleton Sneed ""Carly""",22,0.03,0
Huckabee,"Michael Dale ""Mike""",21,0.03,0
Santorum,"Richard John ""Rick""",11,0.01,0
Total,,75482,100.0,30
Total,,75482,100.0,30
Total,,75482,100.0,30
Total,,75482,100.0,30
Total,,75482,100.0,30
Total,,75482,100.0,30
Total,,75482,100.0,30
