name,other_name,votes,percentage,delegates
Kasich,John Richard,933886,46.95,66
Trump,"Donald John, Sr.",713404,35.87,0
Cruz,"Rafael Edward ""Ted""",264640,13.31,0
Rubio,Marco A.,46478,2.34,0
Carson,"Benjamin Solomon ""Ben"", Sr.",14351,0.72,0
Bush,"John Ellis ""Jeb""",5398,0.27,0
Huckabee,"Michael Dale ""Mike""",4941,0.25,0
Christie,"Christopher James ""Chris""",2430,0.12,0
Fiorina,"Carleton Sneed ""Carly""",2112,0.11,0
Santorum,"Richard John ""Rick""",1320,0.07,0
Total,,1988960,100.0,66
Total,,1988960,100.0,66
Total,,1988960,100.0,66
