name,other_name,votes,percentage,delegates
Cruz,"Rafael Edward ""Ted""",533079,48.2,36
Trump,"Donald John, Sr.",387295,35.02,6
Kasich,John Richard,155902,14.1,0
Rubio,Marco A.,10591,0.96,0
Carson,"Benjamin Solomon ""Ben"", Sr.",5660,0.51,0
Bush,"John Ellis ""Jeb""",3054,0.28,0
Paul,"Randal H. ""Rand""",2519,0.23,0
Delegation,Uninstructed,2281,0.21,0
Huckabee,"Michael Dale ""Mike""",1424,0.13,0
(scattering),Scattering,1381,0.12,0
Christie,"Christopher James ""Chris""",1191,0.11,0
Fiorina,"Carleton Sneed ""Carly""",772,0.07,0
Santorum,"Richard John ""Rick""",511,0.05,0
Gilmore,"James Stuart ""Jim"", III",245,0.02,0
Williams,Victor,39,0.0,0
Total,,1105944,100.0,42
Total,,1105944,100.0,42
Total,,1105944,100.0,42
Total,,1105944,100.0,42
