state,date,type,total_votes,total_delegates
AL,2008-02-05,T,536626,60
AK,2008-02-05,/,8880,18
AS,2008-02-05,C,285,9
AZ,2008-02-05,T,455635,67
AR,2008-02-05,T,314234,47
CA,2008-02-05,T,5066993,441
CO,2008-02-05,C,120411,70
CT,2008-02-05,T,354539,60
DE,2008-02-05,T,96374,23
DC,2008-02-12,T,123994,40
DC,2008-02-12,T,123994,40
FL,2008-01-29,T,1749920,211
GA,2008-02-05,T,1060851,102
GU,2008-05-03,C,4521,9
HI,2008-02-19,C,37562,29
ID,2008-02-05,C,21224,23
IL,2008-02-05,T,2038614,185
IN,2008-05-06,T,1278314,85
IA,2008-01-03,T,2501,57
KS,2008-02-05,U,36723,41
KY,2008-05-20,T,701768,60
LA,2008-02-09,S,384346,67
ME,2008-02-10,C,3498,32
MD,2008-02-12,T,878174,100
MA,2008-02-05,T,1263764,121
MI,2008-01-15,T,594398,157
MN,2008-02-05,C,214066,88
MS,2008-02-23,M,434152,41
MO,2008-02-05,T,825050,88
MT,2008-06-03,T,182421,25
NE,2008-02-09,C,38481,31
NV,2008-01-19,C,10648,34
NH,2008-01-08,T,287557,30
NJ,2008-02-05,T,1141199,127
NM,2008-02-05,P,149379,38
NY,2008-02-05,T,1891143,282
NC,2008-05-06,T,1580726,134
ND,2008-02-05,C,19012,21
OH,2008-03-04,T,2354721,161
OK,2008-02-05,T,417207,48
OR,2008-05-20,T,640630,65
PA,2008-04-22,T,2336480,187
PR,2008-06-01,S,384578,63
RI,2008-03-04,T,186657,33
SC,2008-01-26,P,532151,54
SD,2008-06-03,T,97797,23
TN,2008-02-05,T,624764,85
TX,2008-03-04,T,2874986,227
UT,2008-02-05,T,131403,29
VT,2008-03-04,T,154960,23
VI,2008-02-09,C,1970,9
VA,2008-02-12,T,986203,101
WA,2008-02-09,C,32220,97
WV,2008-05-13,T,359910,39
WI,2008-02-19,T,1113753,92
WY,2008-03-08,C,8753,18
