name,other_name,votes,percentage,delegates
McCain,"John Sidney, III",255197,47.17,50
Romney,Mitt,186838,34.53,0
Huckabee,"Michael Dale ""Mike""",48849,9.03,0
Paul,"Ronald Ernest ""Ron""",22692,4.19,0
Giuliani,Rudolph William,13658,2.52,0
Thompson,Fred Dalton,9492,1.75,0
Hunter,Duncan,1082,0.2,0
Keyes,Alan L.,970,0.18,0
McGrath,John R.,490,0.09,0
McEnulty,Frank Edward,333,0.06,0
Murphy,"Sean ""CF""",269,0.05,0
Fitzpatrick,John Michael,199,0.04,0
Mitchell,"James Creighton, Jr.",193,0.04,0
Ruben,David,104,0.02,0
Burzynski,Michael,98,0.02,0
Curry,Jerry Ralph,98,0.02,0
Shepard,Jack,78,0.01,0
Forthan,Bob Leonard,75,0.01,0
Shaw,Michael Paul,62,0.01,0
Cort,"Hugh, III",58,0.01,0
Gilbert,Daniel Ayers,53,0.01,0
Outzen,Rick,53,0.01,0
Skelley,Charles,50,0.01,0
Smith,Rhett R.,44,0.01,0
Uncommitted,,,,3
(available),,,,0
