state,date,type,total_votes,total_delegates
AL,2008-02-05,T,552155,48
AK,2008-02-09,C,13703,29
AS,2008-02-23,C,,9
AZ,2008-02-05,T,541035,53
AR,2008-02-05,T,229153,34
CA,2008-02-05,T,2932811,173
CO,2008-02-05,C,55845,46
CT,2008-02-05,T,151604,30
DE,2008-02-05,T,50239,18
DC,2008-02-12,T,6211,19
DC,2008-02-12,T,6211,19
FL,2008-01-29,T,1949498,57
GA,2008-02-05,T,963541,72
GU,2008-03-08,C,,9
HI,2008-02-07,C,,20
ID,2008-05-27,T,124908,32
IL,2008-02-05,T,899422,70
IN,2008-05-06,T,412673,57
IA,2008-01-03,T,119188,40
KS,2008-02-09,S,19516,39
KY,2008-05-20,T,197793,45
LA,2008-01-22,C,161169,47
ME,2008-02-03,C,5431,21
MD,2008-02-12,T,320989,37
MA,2008-02-05,T,501997,43
MI,2008-01-15,T,869169,30
MN,2008-02-05,C,62828,41
MS,2008-03-11,T,143286,39
MO,2008-02-05,T,588844,58
MT,2008-02-05,T,1628,25
NE,2008-05-13,T,135712,33
NV,2008-01-19,C,44315,34
NH,2008-01-08,T,239328,12
NJ,2008-02-05,T,566201,52
NM,2008-06-03,T,110939,32
NY,2008-02-05,T,699078,101
NC,2008-04-26,C,517583,69
ND,2008-02-05,T,9743,26
MP,2008-02-09,C,115,9
OH,2008-03-04,T,1093980,88
OK,2008-02-05,T,335054,41
OR,2008-05-20,T,351916,30
PA,2008-04-22,T,816928,74
PR,2008-02-24,C,208,23
RI,2008-03-04,T,26996,20
SC,2008-01-19,S,445499,24
SD,2008-06-03,T,60964,27
TN,2008-02-05,T,553815,55
TX,2008-03-04,T,1362322,140
UT,2008-02-05,T,296061,36
VT,2008-03-04,T,39843,17
VI,2008-04-05,C,,9
VA,2008-02-12,T,489252,63
WA,2008-02-09,C,13475,40
WV,2008-01-14,P,119015,30
WI,2008-02-19,T,410607,40
WY,2008-01-05,C,,14
