name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",373721,43.42,36
Cruz,"Rafael Edward ""Ted""",181479,21.09,13
Rubio,Marco A.,160606,18.66,1
Carson,"Benjamin Solomon ""Ben"", Sr.",88094,10.24,0
Kasich,John Richard,38119,4.43,0
Uncommitted,,7953,0.92,0
Bush,"John Ellis ""Jeb""",3974,0.46,0
Huckabee,"Michael Dale ""Mike""",2539,0.3,0
Paul,"Randal H. ""Rand""",1895,0.22,0
Christie,"Christopher James ""Chris""",858,0.1,0
Santorum,"Richard John ""Rick""",617,0.07,0
Fiorina,"Carleton Sneed ""Carly""",544,0.06,0
Graham,Lindsey Olin,253,0.03,0
Total,,860652,100.0,50
Total,,860652,100.0,50
Total,,860652,100.0,50
Total,,860652,100.0,50
Total,,860652,100.0,50
