name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",1079870,45.72,99
Rubio,Marco A.,638661,27.04,0
Cruz,"Rafael Edward ""Ted""",404891,17.14,0
Kasich,John Richard,159976,6.77,0
Bush,"John Ellis ""Jeb""",43511,1.84,0
Carson,"Benjamin Solomon ""Ben"", Sr.",21207,0.9,0
Paul,"Randal H. ""Rand""",4450,0.19,0
Huckabee,"Michael Dale ""Mike""",2624,0.11,0
Christie,"Christopher James ""Chris""",2493,0.11,0
Fiorina,"Carleton Sneed ""Carly""",1899,0.08,0
Santorum,"Richard John ""Rick""",1211,0.05,0
Graham,Lindsey Olin,693,0.03,0
Gilmore,"James Stuart ""Jim"", III",319,0.01,0
Total,,2361805,100.0,99
Total,,2361805,100.0,99
Total,,2361805,100.0,99
