name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",562464,38.8,54
Cruz,"Rafael Edward ""Ted""",438235,30.23,9
Kasich,John Richard,286118,19.74,6
Rubio,Marco A.,126681,8.74,0
Carson,"Benjamin Solomon ""Ben"", Sr.",11469,0.79,0
Bush,"John Ellis ""Jeb""",11188,0.77,0
Paul,"Randal H. ""Rand""",4718,0.33,0
Christie,"Christopher James ""Chris""",3428,0.24,0
Huckabee,"Michael Dale ""Mike""",2737,0.19,0
Fiorina,"Carleton Sneed ""Carly""",1540,0.11,0
Santorum,"Richard John ""Rick""",1154,0.08,0
Breivogel(write-in),JoAnn,16,0.0,0
Total,,1449748,100.0,69
Total,,1449748,100.0,69
Total,,1449748,100.0,69
Total,,1449748,100.0,69
Total,,1449748,100.0,69
