name,other_name,votes,percentage,delegates
Cruz,"Rafael Edward ""Ted""",8550,45.9,12
Trump,"Donald John, Sr.",6070,32.59,9
Kasich,John Richard,2270,12.19,2
Rubio,Marco A.,1492,8.01,0
Carson,"Benjamin Solomon ""Ben"", Sr.",132,0.71,0
Paul,"Randal H. ""Rand""",55,0.3,0
Bush,"John Ellis ""Jeb""",31,0.17,0
Fiorina,"Carleton Sneed ""Carly""",17,0.09,0
Huckabee,"Michael Dale ""Mike""",10,0.05,0
Christie,"Christopher James ""Chris""",0,0.0,0
Santorum,"Richard John ""Rick""",0,0.0,0
Total,,18627,100.0,23
Total,,18627,100.0,23
Total,,18627,100.0,23
Total,,18627,100.0,23
Total,,18627,100.0,23
