name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",483753,36.55,25
Cruz,"Rafael Edward ""Ted""",326617,24.68,17
Kasich,John Richard,321115,24.26,17
Rubio,Marco A.,123587,9.34,0
Uncommitted,,22824,1.72,0
Carson,"Benjamin Solomon ""Ben"", Sr.",21349,1.61,0
Bush,"John Ellis ""Jeb""",10685,0.81,0
Paul,"Randal H. ""Rand""",3774,0.29,0
Christie,"Christopher James ""Chris""",3116,0.24,0
Huckabee,"Michael Dale ""Mike""",2603,0.2,0
Santorum,"Richard John ""Rick""",1722,0.13,0
Fiorina,"Carleton Sneed ""Carly""",1415,0.11,0
Pataki,George E.,591,0.04,0
Graham,Lindsey Olin,438,0.03,0
Total,,1323589,100.0,59
Total,,1323589,100.0,59
Total,,1323589,100.0,59
Total,,1323589,100.0,59
Total,,1323589,100.0,59
