name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",383631,40.84,37
Cruz,"Rafael Edward ""Ted""",381666,40.63,15
Kasich,John Richard,94857,10.1,0
Rubio,Marco A.,57244,6.09,0
Carson,"Benjamin Solomon ""Ben"", Sr.",8233,0.88,0
Bush,"John Ellis ""Jeb""",3361,0.36,0
Uncommitted,,3225,0.34,0
Huckabee,"Michael Dale ""Mike""",2148,0.23,0
Paul,"Randal H. ""Rand""",1777,0.19,0
Christie,"Christopher James ""Chris""",1681,0.18,0
Santorum,"Richard John ""Rick""",732,0.08,0
Fiorina,"Carleton Sneed ""Carly""",615,0.07,0
Lynch,"James P. ""Jim"", Sr.",100,0.01,0
Total,,939270,100.0,52
Total,,939270,100.0,52
Total,,939270,100.0,52
Total,,939270,100.0,52
