name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",100735,35.23,11
Kasich,John Richard,44932,15.72,4
Cruz,"Rafael Edward ""Ted""",33244,11.63,3
Bush,"John Ellis ""Jeb""",31341,10.96,3
Rubio,Marco A.,30071,10.52,2
Christie,"Christopher James ""Chris""",21089,7.38,0
Fiorina,"Carleton Sneed ""Carly""",11774,4.12,0
Carson,"Benjamin Solomon ""Ben"", Sr.",6527,2.28,0
(scattering),Write-in,2942,1.03,0
Paul,"Randal H. ""Rand""",1930,0.68,0
Huckabee,"Michael Dale ""Mike""",216,0.08,0
Martin,Andy,202,0.07,0
Santorum,"Richard John ""Rick""",160,0.06,0
Gilmore,"James Stuart ""Jim"", III",134,0.05,0
Witz,Richard P.H.,104,0.04,0
Pataki,George E.,79,0.03,0
Graham,Lindsey Olin,73,0.03,0
Cullison,Brooks Andrews,56,0.02,0
Cook,"Timothy ""Tim""",55,0.02,0
Jindal,"Piyush ""Bobby""",53,0.02,0
Lynch,Frank,47,0.02,0
Robinson,Joe,44,0.02,0
Comley,"Stephen Bradley, Sr.",32,0.01,0
Prag,Chomi,16,0.01,0
Dyas,"Jacob Daniel ""Daniel"", Sr.",15,0.01,0
McCarthy,Stephen John,12,0.0,0
Iwachiw,Walter N.,9,0.0,0
Huey,Kevin Glenn,8,0.0,0
Drozd,Matt,6,0.0,0
Mann,Robert Lawrence,5,0.0,0
Messina,Peter,5,0.0,0
Total,,285916,100.0,23
Total,,285916,100.0,23
Total,,285916,100.0,23
Total,,285916,100.0,23
Total,,285916,100.0,23
Total,,285916,100.0,23
Total,,285916,100.0,23
