name,other_name,votes,percentage,delegates
Rubio,Marco A.,28937,70.24,23
Trump,"Donald John, Sr.",5474,13.29,0
Cruz,"Rafael Edward ""Ted""",3610,8.76,0
(scattering),Blank Ballots,897,2.18,0
(scattering),Void Ballots,616,1.5,0
Kasich,John Richard,582,1.41,0
Fiorina,"Carleton Sneed ""Carly""",375,0.91,0
Bush,"John Ellis ""Jeb""",296,0.72,0
Carson,"Benjamin Solomon ""Ben"", Sr.",168,0.41,0
Huckabee,"Michael Dale ""Mike""",77,0.19,0
Paul,"Randal H. ""Rand""",48,0.12,0
Santorum,"Richard John ""Rick""",36,0.09,0
Gilmore,"James Stuart ""Jim"", III",30,0.07,0
Christie,"Christopher James ""Chris""",23,0.06,0
(scattering),Write-in,15,0.04,0
(scattering),Not Awarded Ballots,12,0.03,0
Total,,41196,100.0,23
Total,,41196,100.0,23
Total,,41196,100.0,23
