name,other_name,votes,percentage,delegates
Cruz,"Rafael Edward ""Ted""",1241118,43.76,104
Trump,"Donald John, Sr.",758762,26.75,48
Rubio,Marco A.,503055,17.74,3
Kasich,John Richard,120473,4.25,0
Carson,"Benjamin Solomon ""Ben"", Sr.",117969,4.16,0
Bush,"John Ellis ""Jeb""",35420,1.25,0
Uncommitted,,29609,1.04,0
Paul,"Randal H. ""Rand""",8000,0.28,0
Huckabee,"Michael Dale ""Mike""",6226,0.22,0
Gray,Elizabeth,5449,0.19,0
Christie,"Christopher James ""Chris""",3448,0.12,0
Fiorina,"Carleton Sneed ""Carly""",3247,0.11,0
Santorum,"Richard John ""Rick""",2006,0.07,0
Graham,Lindsey Olin,1706,0.06,0
Total,,2836488,100.0,155
Total,,2836488,100.0,155
Total,,2836488,100.0,155
Total,,2836488,100.0,155
Total,,2836488,100.0,155
