name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",157238,77.05,30
Cruz,"Rafael Edward ""Ted""",18301,8.97,0
Kasich,John Richard,13721,6.72,1
Carson,"Benjamin Solomon ""Ben"", Sr.",4421,2.17,0
Rubio,Marco A.,2908,1.43,0
Bush,"John Ellis ""Jeb""",2305,1.13,0
Paul,"Randal H. ""Rand""",1798,0.88,0
Huckabee,"Michael Dale ""Mike""",1780,0.87,0
Christie,"Christopher James ""Chris""",727,0.36,0
Fiorina,"Carleton Sneed ""Carly""",659,0.32,0
Hall,David Eames,203,0.1,0
Total,,204061,100.0,34
Total,,204061,100.0,34
Total,,204061,100.0,34
Uncommitted,,-99,,3
Uncommitted,,-99,,3
